name_file,dir_name,error_message,error_file,full_error
1AR4P5e967ccd8cc85.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/14.04.2020/1AR4P5e967ccd8cc85.error.html,Error message: Cannot pass parameter 2 by reference,Error file: /var/www/9prints/store/code/component/core/catalog/model/product.php [686], Server IP 172.31.18.188  Server time 14/04/2020 21:17:33  Error message Cannot pass parameter 2 by reference  Error file /var/www/9prints/store/code/component/core/catalog/model/product.php [686]  Total process 2  Total time 23.632 ms  Memory peak 2.00MB
2P3575e967cf4df331.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/14.04.2020/2P3575e967cf4df331.error.html,Error message: Cannot pass parameter 2 by reference,Error file: /var/www/9prints/store/code/component/core/catalog/model/product.php [686], Server IP 172.31.18.188  Server time 14/04/2020 21:18:12  Error message Cannot pass parameter 2 by reference  Error file /var/www/9prints/store/code/component/core/catalog/model/product.php [686]  Total process 2  Total time 17.182 ms  Memory peak 2.00MB
8O2KC5e967cd98f92d.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/14.04.2020/8O2KC5e967cd98f92d.error.html,Error message: Cannot pass parameter 2 by reference,Error file: /var/www/9prints/store/code/component/core/catalog/model/product.php [686], Server IP 172.31.18.188  Server time 14/04/2020 21:17:45  Error message Cannot pass parameter 2 by reference  Error file /var/www/9prints/store/code/component/core/catalog/model/product.php [686]  Total process 11  Total time 42.739 ms  Memory peak 2.00MB
CF6AZ5e99d5814dbbe.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/17.04.2020/CF6AZ5e99d5814dbbe.error.html,Error message: ,Error file: /var/www/9prints/store/code/core/controller/alias.php [55], Server IP 172.31.18.188  Server time 17/04/2020 10:12:49  Error message   Error file /var/www/9prints/store/code/core/controller/alias.php [55]  Total process 0  Total time 11.436 ms  Memory peak 2.00MB
KYAGM5e967cd9e16b8.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/14.04.2020/KYAGM5e967cd9e16b8.error.html,Error message: Cannot pass parameter 2 by reference,Error file: /var/www/9prints/store/code/component/core/catalog/model/product.php [686], Server IP 172.31.18.188  Server time 14/04/2020 21:17:45  Error message Cannot pass parameter 2 by reference  Error file /var/www/9prints/store/code/component/core/catalog/model/product.php [686]  Total process 2  Total time 19.747 ms  Memory peak 2.00MB
FIGJV5e9962022e276.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/17.04.2020/FIGJV5e9962022e276.error.html,Error message: Class Cron_catalog_order_autoExport not found,Error file: /var/www/9prints/store/code/core/osecore.php [781], Server IP 172.31.18.188  Server time 17/04/2020 02:00:02  Error message Class Cron_catalog_order_autoExport not found  Error file /var/www/9prints/store/code/core/osecore.php [781]  Total process 27  Total time 139.864 ms  Memory peak 8.00MB
NJBB75e9aed570971a.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/18.04.2020/NJBB75e9aed570971a.error.html,Error message: ,Error file: /var/www/9prints/store/code/core/controller/alias.php [55], Server IP 172.31.18.188  Server time 18/04/2020 06:06:47  Error message   Error file /var/www/9prints/store/code/core/controller/alias.php [55]  Total process 0  Total time 8.584 ms  Memory peak 2.00MB
0R4T25e7697c084f19.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/0R4T25e7697c084f19.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:00  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.003 ms  Memory peak 2.00MB
41NDQ5e7697c850c65.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/41NDQ5e7697c850c65.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:08  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.172 ms  Memory peak 2.00MB
5DP6Z5e7697c6eae72.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/5DP6Z5e7697c6eae72.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:06  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.675 ms  Memory peak 2.00MB
5X3805e76998586d08.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/5X3805e76998586d08.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:47:33  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.260 ms  Memory peak 2.00MB
B27AK5e7697c376650.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/B27AK5e7697c376650.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:03  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.100 ms  Memory peak 2.00MB
EHP785e7697c981605.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/EHP785e7697c981605.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.785 ms  Memory peak 2.00MB
ES5235e7697c65b21e.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/ES5235e7697c65b21e.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:06  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 37.422 ms  Memory peak 2.00MB
G3GA25e7697c31b78c.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/G3GA25e7697c31b78c.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:03  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 38.006 ms  Memory peak 2.00MB
H2V275e7697c76642f.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/H2V275e7697c76642f.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:07  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 38.657 ms  Memory peak 4.00MB
IT0U35e7697c5c0fff.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/IT0U35e7697c5c0fff.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:05  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.211 ms  Memory peak 2.00MB
NGVWQ5e7697bf2d6f5.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/NGVWQ5e7697bf2d6f5.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:39:59  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.494 ms  Memory peak 2.00MB
P39BL5e7697c9e10bd.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/P39BL5e7697c9e10bd.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.912 ms  Memory peak 2.00MB
QFX2O5e7697c7d89ba.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/QFX2O5e7697c7d89ba.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:07  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.174 ms  Memory peak 2.00MB
QV3AF5e7697c8c7692.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/QV3AF5e7697c8c7692.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:08  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.539 ms  Memory peak 2.00MB
SMEFS5e7697c9506d4.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/SMEFS5e7697c9506d4.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.245 ms  Memory peak 2.00MB
VFM095e7697c9b3cf9.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/VFM095e7697c9b3cf9.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 41.808 ms  Memory peak 2.00MB
ZLDGN5e7697c920b18.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/ZLDGN5e7697c920b18.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 37.512 ms  Memory peak 4.00MB
IZDQD5e77ad22011f1.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/22.03.2020/IZDQD5e77ad22011f1.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 22/03/2020 13:23:30  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 59.537 ms  Memory peak 8.00MB
K0OCL5e77ad0722e06.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/22.03.2020/K0OCL5e77ad0722e06.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 22/03/2020 13:23:03  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 160.373 ms  Memory peak 14.00MB
580ER5e7a9afedfdcb.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/580ER5e7a9afedfdcb.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 18:42:54  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 60.144 ms  Memory peak 12.00MB
